                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0126,                0.82919,                 1.1029,                0.99205,                0.84615,                0.95689,                0.57311,                 1.3922,                 1.0631,                 1.2072,               0.000812,               0.000812,               0.000812
                     62,                 1.0053,                0.84144,                 1.0946,                0.99741,                0.92308,                   0.99,                0.54022,                 1.3585,                 1.0337,                 1.2174,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0506,                0.82987,                 1.0944,                0.99771,                      1,                  0.995,                0.54035,                  1.314,                0.91225,                 1.2464,              0.0007724,              0.0007724,              0.0007724
                     64,                0.94699,                0.75014,                 1.0369,                 0.9924,                      1,                  0.995,                0.59234,                    1.2,                0.83483,                 1.1665,              0.0007526,              0.0007526,              0.0007526
                     65,                0.96549,                0.77902,                 1.0706,                0.98548,                      1,                  0.995,                0.61807,                 1.1726,                0.84043,                 1.1423,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0522,                0.83372,                 1.0852,                0.98513,                0.92308,                0.95344,                0.60421,                 1.1921,                0.89864,                 1.1491,               0.000713,               0.000713,               0.000713
                     67,                0.99428,                0.74464,                  1.068,                0.99052,                0.92308,                0.97289,                 0.6159,                 1.1272,                0.86297,                 1.0825,              0.0006932,              0.0006932,              0.0006932
                     68,                0.93621,                0.71281,                 1.0503,                0.98908,                0.92308,                 0.9705,                0.55756,                 1.3557,                0.92175,                 1.1922,              0.0006734,              0.0006734,              0.0006734
                     69,                0.92887,                0.74008,                 1.0757,                0.96249,                0.92308,                0.98567,                0.62569,                 1.1504,                0.86332,                 1.0801,              0.0006536,              0.0006536,              0.0006536
                     70,                0.98551,                0.76749,                  1.063,                0.99675,                      1,                  0.995,                0.62885,                  1.166,                0.81436,                 1.0857,              0.0006338,              0.0006338,              0.0006338
                     71,                0.86574,                0.69147,                 1.0093,                0.99315,                      1,                  0.995,                0.63817,                 1.1894,                0.81512,                 1.0991,               0.000614,               0.000614,               0.000614
                     72,                0.90155,                0.73413,                 1.0398,                0.99494,                      1,                  0.995,                0.60388,                 1.1776,                 0.7952,                 1.0905,              0.0005942,              0.0005942,              0.0005942
                     73,                0.92389,                0.72602,                  1.058,                0.99252,                      1,                  0.995,                0.56246,                 1.2247,                0.83266,                 1.1141,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.9156,                0.69299,                 1.0536,                0.92264,                0.91784,                0.93615,                0.55211,                  1.181,                0.85768,                 1.1317,              0.0005546,              0.0005546,              0.0005546
                     75,                0.89417,                0.71107,                 1.0368,                0.90531,                0.92308,                0.93833,                0.57217,                 1.1994,                0.88103,                 1.1443,              0.0005348,              0.0005348,              0.0005348
                     76,                0.86639,                0.70082,                 1.0458,                0.89913,                0.92308,                 0.9314,                0.61591,                 1.1572,                0.89662,                 1.1142,               0.000515,               0.000515,               0.000515
                     77,                0.86438,                0.65356,                0.99621,                0.91296,                0.92308,                0.92918,                0.59189,                 1.1829,                 0.8314,                  1.114,              0.0004952,              0.0004952,              0.0004952
                     78,                0.86304,                0.67148,                 1.0255,                0.99227,                      1,                  0.995,                0.60072,                 1.1875,                 0.7791,                 1.1192,              0.0004754,              0.0004754,              0.0004754
                     79,                0.89317,                0.66618,                 1.0363,                0.91793,                0.92308,                0.92638,                0.56714,                   1.12,                0.74819,                 1.1003,              0.0004556,              0.0004556,              0.0004556
                     80,                0.81523,                0.65282,                 1.0045,                0.91692,                0.92308,                0.94001,                0.58702,                 1.2008,                 0.7726,                 1.1332,              0.0004358,              0.0004358,              0.0004358
                     81,                0.87039,                0.64964,                 1.0252,                0.99034,                0.92308,                0.93478,                0.59623,                 1.2024,                0.78546,                 1.1284,               0.000416,               0.000416,               0.000416
                     82,                0.83731,                0.64017,                 1.0064,                0.97806,                0.92308,                0.92892,                0.59377,                 1.2389,                0.78126,                 1.1278,              0.0003962,              0.0003962,              0.0003962
                     83,                0.78053,                0.62193,                 1.0022,                0.98597,                0.92308,                0.93119,                 0.6238,                  1.174,                0.72632,                  1.088,              0.0003764,              0.0003764,              0.0003764
                     84,                0.77508,                0.62405,                0.98163,                0.99216,                0.92308,                 0.9575,                0.66373,                 1.0901,                0.71319,                 1.0619,              0.0003566,              0.0003566,              0.0003566
                     85,                0.75778,                0.60629,                0.97972,                0.99371,                0.92308,                 0.9705,                0.67753,                 1.0943,                  0.743,                 1.0562,              0.0003368,              0.0003368,              0.0003368
                     86,                0.74595,                0.62459,                0.98036,                0.99368,                0.92308,                0.98567,                0.65635,                 1.1116,                0.72752,                 1.0381,               0.000317,               0.000317,               0.000317
                     87,                0.78427,                0.59083,                 1.0104,                0.99219,                0.92308,                0.98567,                0.63636,                 1.1437,                0.75997,                 1.0449,              0.0002972,              0.0002972,              0.0002972
                     88,                0.75141,                0.60409,                0.97995,                      1,                0.99727,                  0.995,                0.59816,                   1.27,                0.76867,                 1.1163,              0.0002774,              0.0002774,              0.0002774
                     89,                0.74524,                0.57806,                0.98141,                      1,                0.99832,                  0.995,                0.60901,                 1.2789,                0.77348,                 1.1213,              0.0002576,              0.0002576,              0.0002576
                     90,                0.75205,                0.60119,                0.98197,                      1,                0.99966,                  0.995,                0.61809,                  1.243,                0.73559,                 1.1013,              0.0002378,              0.0002378,              0.0002378
                     91,                0.64586,                0.55918,                0.93907,                      1,                0.99892,                  0.995,                 0.6309,                 1.2165,                0.72008,                 1.0932,               0.000218,               0.000218,               0.000218
                     92,                0.60624,                0.54615,                0.92538,                      1,                0.99681,                  0.995,                0.64395,                 1.1263,                0.69824,                 1.0706,              0.0001982,              0.0001982,              0.0001982
                     93,                0.61809,                0.51269,                0.91692,                      1,                0.99685,                  0.995,                0.65793,                 1.1152,                0.69006,                   1.06,              0.0001784,              0.0001784,              0.0001784
                     94,                0.58947,                0.50939,                 0.9105,                      1,                 0.9973,                  0.995,                0.64351,                 1.1018,                0.69708,                 1.0571,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.6003,                0.49296,                0.91254,                      1,                 0.9984,                  0.995,                0.64381,                 1.1021,                0.71057,                 1.0668,              0.0001388,              0.0001388,              0.0001388
                     96,                0.58097,                0.50342,                0.88171,                      1,                0.99979,                  0.995,                0.62341,                 1.1155,                0.72621,                 1.0731,               0.000119,               0.000119,               0.000119
                     97,                0.57999,                0.47382,                0.90165,                      1,                0.99916,                  0.995,                0.63621,                 1.1382,                0.72873,                 1.0938,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.55268,                0.48397,                 0.8927,                      1,                0.99647,                  0.995,                0.62958,                 1.1439,                0.73586,                 1.1016,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.57316,                0.49169,                0.89283,                      1,                0.99615,                  0.995,                0.61897,                 1.1334,                0.71127,                 1.0965,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.57765,                0.49316,                 0.9064,                      1,                0.99609,                  0.995,                0.61545,                 1.1269,                0.70543,                 1.0958,               3.98e-05,               3.98e-05,               3.98e-05
