                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.40946,                0.66879,                0.35568,                0.93918,                0.99565,                      1,                  0.995,                0.95085,                0.99565,                      1,                  0.995,                0.97433,                0.35218,                0.41043,                0.33055,                0.83464,              0.0007328,              0.0007328,              0.0007328
                     66,                0.42727,                0.68522,                0.38122,                0.95109,                0.99573,                      1,                  0.995,                 0.9608,                0.99573,                      1,                  0.995,                0.97758,                0.34739,                0.39967,                0.33622,                0.83895,               0.000713,               0.000713,               0.000713
                     67,                 0.4114,                0.64453,                0.34374,                 0.9251,                  0.996,                      1,                  0.995,                0.96082,                  0.996,                      1,                  0.995,                 0.9777,                0.35897,                0.41033,                0.30404,                0.85431,              0.0006932,              0.0006932,              0.0006932
                     68,                0.41773,                0.65463,                0.34993,                 0.9492,                0.99581,                      1,                  0.995,                 0.9601,                0.99581,                      1,                  0.995,                  0.995,                0.38501,                0.42558,                0.29141,                0.86611,              0.0006734,              0.0006734,              0.0006734
                     69,                0.42739,                0.72137,                0.36271,                0.94187,                0.99567,                      1,                  0.995,                0.96244,                0.99567,                      1,                  0.995,                0.97926,                0.39045,                0.44242,                0.34158,                0.88303,              0.0006536,              0.0006536,              0.0006536
                     70,                0.42342,                0.65305,                0.34699,                0.94544,                0.99562,                      1,                  0.995,                0.92212,                0.99562,                      1,                  0.995,                0.94931,                 0.4258,                0.50033,                0.36971,                0.91078,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.3829,                0.66283,                0.33096,                0.92523,                0.99577,                      1,                  0.995,                0.93264,                0.99577,                      1,                  0.995,                0.96293,                0.40534,                0.46393,                0.31393,                0.89325,               0.000614,               0.000614,               0.000614
                     72,                0.40727,                0.70931,                0.35324,                0.94797,                0.99551,                      1,                  0.995,                 0.9617,                0.99551,                      1,                  0.995,                0.98316,                0.32926,                0.39763,                0.28765,                0.82472,              0.0005942,              0.0005942,              0.0005942
                     73,                0.43363,                0.68606,                0.34639,                0.94733,                0.99553,                      1,                  0.995,                0.96793,                0.99553,                      1,                  0.995,                0.98162,                0.38831,                0.40412,                0.27803,                0.87495,              0.0005744,              0.0005744,              0.0005744
                     74,                0.44246,                0.69146,                0.36413,                0.95371,                0.99552,                      1,                  0.995,                0.95855,                0.99552,                      1,                  0.995,                0.95698,                0.37524,                  0.419,                0.29443,                0.86052,              0.0005546,              0.0005546,              0.0005546
